work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2023,Data Architect,Data Architecture and Modeling,USD,186000.0,186000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Architect,Data Architecture and Modeling,USD,81800.0,81800.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,212000.0,212000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,93300.0,93300.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,130000.0,130000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,100000.0,100000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,75000.0,75000.0,United States,Entry-level,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,300000.0,300000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,234000.0,234000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,204500.0,204500.0,United States,Mid-level,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,142200.0,142200.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,110000.0,110000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Applied Scientist,Data Science and Research,USD,222200.0,222200.0,United States,Mid-level,full-time,In-person,United States,L
2023,Machine Learning Engineer,Machine Learning and AI,USD,273400.0,273400.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,182200.0,182200.0,United States,Senior,full-time,In-person,United States,M
2023,BI Developer,BI and Visualization,USD,167500.0,167500.0,United States,Senior,full-time,In-person,United States,M
2023,BI Developer,BI and Visualization,USD,106500.0,106500.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,185900.0,185900.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,129300.0,129300.0,United States,Senior,full-time,In-person,United States,M
2023,Business Intelligence Engineer,BI and Visualization,USD,185000.0,185000.0,United States,Mid-level,full-time,In-person,United States,L
2023,Business Intelligence Engineer,BI and Visualization,USD,79600.0,79600.0,United States,Mid-level,full-time,In-person,United States,L
2023,Data Engineer,Data Engineering,USD,122000.0,122000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,94500.0,94500.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,247300.0,247300.0,United States,Senior,full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,100000.0,100000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,204500.0,204500.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,142200.0,142200.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,167500.0,167500.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,106500.0,106500.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,185900.0,185900.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,129300.0,129300.0,United States,Senior,full-time,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,USD,179820.0,179820.0,United States,Senior,full-time,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,USD,143860.0,143860.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,133000.0,133000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,58400.0,58400.0,United States,Mid-level,full-time,In-person,United States,M
2023,Research Engineer,Data Science and Research,USD,141298.0,141298.0,United States,Senior,full-time,In-person,United States,M
2023,Research Engineer,Data Science and Research,USD,115607.0,115607.0,United States,Senior,full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,75000.0,75000.0,United States,Entry-level,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,144400.0,144400.0,Canada,Senior,full-time,In-person,Canada,M
2023,Data Analyst,Data Analysis,USD,90000.0,90000.0,United States,Mid-level,full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,70000.0,70000.0,United States,Mid-level,full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,199000.0,199000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,162000.0,162000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,184000.0,184000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,123000.0,123000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,118800.0,118800.0,United States,Mid-level,full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,225000.0,225000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,150000.0,150000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,150000.0,150000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,100000.0,100000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,120000.0,120000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,226700.0,226700.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,133300.0,133300.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,184000.0,184000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,123000.0,123000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,130000.0,130000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,130000.0,130000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,118800.0,118800.0,United States,Mid-level,full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,184000.0,184000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,123000.0,123000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,215000.0,215000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,200000.0,200000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000.0,220000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,176000.0,176000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,205000.0,205000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,152000.0,152000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,205000.0,205000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,152000.0,152000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,110000.0,110000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,172000.0,172000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,146000.0,146000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,148000.0,148000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,99000.0,99000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,130000.0,130000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,105000.0,105000.0,United States,Entry-level,full-time,In-person,United States,M
2023,Machine Learning Scientist,Machine Learning and AI,USD,180514.0,180514.0,United States,Senior,full-time,Remote,United States,M
2023,Machine Learning Scientist,Machine Learning and AI,USD,108308.0,108308.0,United States,Senior,full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,210000.0,210000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,147000.0,147000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,175000.0,175000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,130000.0,130000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Architect,Data Architecture and Modeling,USD,185000.0,185000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Architect,Data Architecture and Modeling,USD,150000.0,150000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,145000.0,145000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,115000.0,115000.0,United States,Senior,full-time,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,USD,115000.0,115000.0,United States,Senior,full-time,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,USD,95000.0,95000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,GBP,75000.0,92280.0,United Kingdom,Entry-level,full-time,In-person,United Kingdom,M
2023,Data Analyst,Data Analysis,GBP,55000.0,67672.0,United Kingdom,Entry-level,full-time,In-person,United Kingdom,M
2023,Data Analyst,Data Analysis,GBP,75000.0,92280.0,United Kingdom,Entry-level,full-time,In-person,United Kingdom,M
2023,Data Analyst,Data Analysis,GBP,55000.0,67672.0,United Kingdom,Entry-level,full-time,In-person,United Kingdom,M
2023,Data Engineer,Data Engineering,USD,140000.0,140000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,131100.0,131100.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,258000.0,258000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,171000.0,171000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,196000.0,196000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,121000.0,121000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,195800.0,195800.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000.0,220000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,100000.0,100000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,185000.0,185000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,152000.0,152000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000.0,220000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,100000.0,100000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,EUR,45000.0,48585.0,Spain,Senior,full-time,In-person,Spain,M
2023,Data Scientist,Data Science and Research,EUR,36000.0,38868.0,Spain,Senior,full-time,In-person,Spain,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000.0,220000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,100000.0,100000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000.0,220000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,100000.0,100000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Research Engineer,Data Science and Research,USD,100000.0,100000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,121000.0,121000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,133000.0,133000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,58400.0,58400.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,135000.0,135000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,110000.0,110000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,187415.0,187415.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,114080.0,114080.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,187415.0,187415.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,114080.0,114080.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,187415.0,187415.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,114080.0,114080.0,United States,Senior,full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,GBP,26800.0,32974.0,United Kingdom,Entry-level,full-time,In-person,United Kingdom,M
2023,Data Analyst,Data Analysis,GBP,26800.0,32974.0,United Kingdom,Entry-level,full-time,In-person,United Kingdom,M
2023,Data Analyst,Data Analysis,USD,165000.0,165000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,140000.0,140000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,167000.0,167000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Business Intelligence Engineer,BI and Visualization,USD,185000.0,185000.0,United States,Mid-level,full-time,In-person,United States,L
2023,Business Intelligence Engineer,BI and Visualization,USD,79600.0,79600.0,United States,Mid-level,full-time,In-person,United States,L
2023,Data Engineer,Data Engineering,USD,90000.0,90000.0,United States,Mid-level,full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,70000.0,70000.0,United States,Mid-level,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,166000.0,166000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,73100.0,73100.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,135000.0,135000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,100000.0,100000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,180514.0,180514.0,United Kingdom,Senior,full-time,Remote,United Kingdom,M
2023,Data Engineer,Data Engineering,USD,108308.0,108308.0,United Kingdom,Senior,full-time,Remote,United Kingdom,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,192000.0,192000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,200000.0,200000.0,United States,Senior,full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,150000.0,150000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,180400.0,180400.0,United States,Senior,full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,138800.0,138800.0,United States,Senior,full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,GBP,55000.0,67672.0,United Kingdom,Mid-level,full-time,In-person,United Kingdom,M
2023,Data Analyst,Data Analysis,GBP,45000.0,55368.0,United Kingdom,Mid-level,full-time,In-person,United Kingdom,M
2023,Data Scientist,Data Science and Research,USD,215000.0,215000.0,United States,Senior,full-time,In-person,United States,M
2023,Applied Scientist,Data Science and Research,USD,222200.0,222200.0,United States,Mid-level,full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000.0,136000.0,United States,Mid-level,full-time,In-person,United States,L
2023,Machine Learning Engineer,Machine Learning and AI,USD,142000.0,142000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,122000.0,122000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,94500.0,94500.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,150000.0,150000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Science Consultant,Data Science and Research,USD,116000.0,116000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Science Consultant,Data Science and Research,USD,90000.0,90000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Science Consultant,Data Science and Research,USD,145000.0,145000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Science Consultant,Data Science and Research,USD,128000.0,128000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,150000.0,150000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,180000.0,180000.0,United States,Mid-level,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,247600.0,247600.0,United States,Senior,full-time,In-person,United States,L
2023,Data Scientist,Data Science and Research,USD,127300.0,127300.0,United States,Senior,full-time,In-person,United States,L
2023,Data Scientist,Data Science and Research,USD,60000.0,60000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,55000.0,55000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,250000.0,250000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,125000.0,125000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,190000.0,190000.0,United States,Senior,full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,170000.0,170000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,202600.0,202600.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,168800.0,168800.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,203000.0,203000.0,United States,Senior,full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,200000.0,200000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,160000.0,160000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Architect,Data Architecture and Modeling,USD,185000.0,185000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Architect,Data Architecture and Modeling,USD,150000.0,150000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,160000.0,160000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,130000.0,130000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,145000.0,145000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,115000.0,115000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,254000.0,254000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,159000.0,159000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,170000.0,170000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,85000.0,85000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,130500.0,130500.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,169000.0,169000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,166000.0,166000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,73100.0,73100.0,United States,Senior,full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,190000.0,190000.0,United States,Senior,full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,165000.0,165000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,305600.0,305600.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,146600.0,146600.0,United States,Senior,full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,150000.0,150000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,120000.0,120000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,275000.0,275000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,208500.0,208500.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,165000.0,165000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,258700.0,258700.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,172500.0,172500.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,150000.0,150000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,130000.0,130000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,185000.0,185000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,150000.0,150000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,166000.0,166000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,73100.0,73100.0,United States,Senior,full-time,In-person,United States,M
2023,Business Intelligence Analyst,BI and Visualization,USD,198200.0,198200.0,United States,Senior,full-time,In-person,United States,M
2023,Business Intelligence Analyst,BI and Visualization,USD,110200.0,110200.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,166000.0,166000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,73100.0,73100.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,133000.0,133000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,58400.0,58400.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,212000.0,212000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,93300.0,93300.0,United States,Senior,full-time,In-person,United States,M
2023,Data Architect,Data Architecture and Modeling,USD,170000.0,170000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Architect,Data Architecture and Modeling,USD,135000.0,135000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,145000.0,145000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,115000.0,115000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,139810.0,139810.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,95325.0,95325.0,United States,Senior,full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,278700.0,278700.0,United States,Senior,full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,159300.0,159300.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,247300.0,247300.0,United States,Senior,full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,139700.0,139700.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,188000.0,188000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,139000.0,139000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,150000.0,150000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,160000.0,160000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,94000.0,94000.0,United States,Senior,full-time,In-person,United States,M
2023,ML Engineer,Machine Learning and AI,USD,276000.0,276000.0,United States,Senior,full-time,In-person,United States,M
2023,ML Engineer,Machine Learning and AI,USD,174000.0,174000.0,United States,Senior,full-time,In-person,United States,M
2023,Applied Scientist,Data Science and Research,USD,260000.0,260000.0,United States,Senior,full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000.0,136000.0,United States,Senior,full-time,In-person,United States,L
2023,Data Scientist,Data Science and Research,USD,188000.0,188000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,139000.0,139000.0,United States,Senior,full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,238000.0,238000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,176000.0,176000.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,204500.0,204500.0,United States,Senior,full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,142200.0,142200.0,United States,Senior,full-time,In-person,United States,M
2023,Data Science Director,Data Science and Research,USD,212000.0,212000.0,United States,Executive,full-time,In-person,United States,M
2023,Data Science Director,Data Science and Research,USD,190000.0,190000.0,United States,Executive,full-time,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,USD,115000.0,115000.0,United States,Senior,full-time,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,USD,95000.0,95000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,180000.0,180000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,90000.0,90000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,166000.0,166000.0,United States,Mid-level,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,73100.0,73100.0,United States,Mid-level,full-time,In-person,United States,M
2023,Research Engineer,Data Science and Research,USD,141298.0,141298.0,United States,Senior,full-time,In-person,United States,M
2023,Research Engineer,Data Science and Research,USD,115607.0,115607.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,100000.0,100000.0,United States,Mid-level,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,160000.0,160000.0,United States,Mid-level,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,110000.0,110000.0,United States,Mid-level,full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,230000.0,230000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,100000.0,100000.0,United States,Senior,full-time,In-person,United States,M
2023,Research Engineer,Data Science and Research,USD,100000.0,100000.0,United States,Mid-level,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,258000.0,258000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,171000.0,171000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,192000.0,192000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,178000.0,178000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,210000.0,210000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,130000.0,130000.0,United States,Senior,full-time,Remote,United States,M
2023,Research Engineer,Data Science and Research,USD,160000.0,160000.0,United States,Entry-level,full-time,In-person,United States,M
2023,Applied Scientist,Data Science and Research,USD,260000.0,260000.0,United States,Senior,full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000.0,136000.0,United States,Senior,full-time,In-person,United States,L
2023,Data Architect,Data Architecture and Modeling,USD,206000.0,206000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Architect,Data Architecture and Modeling,USD,134000.0,134000.0,United States,Senior,full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,180000.0,180000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,135000.0,135000.0,United States,Senior,full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,200000.0,200000.0,United States,Senior,full-time,In-person,United States,M
